Page ID	Page Rank	Anchor Text	URL
80	0.00283537744996	['uDesigning               and evaluating new mobile media experiences']	http://www.infosci.cornell.edu/about/IS-SIGCHI_SP06/april19.html
81	0.00283537744996	['uAre               You Game?, <br />, u              Looking to game design as inspiration for crafting engaging social               and emotional user experiences']	http://www.infosci.cornell.edu/about/IS-SIGCHI_SP06/april7.html
82	0.00283537744996	['uWhen               I move, let&#8217;s keep in touch: Mediated communication and relationship               maintenance']	http://www.infosci.cornell.edu/about/IS-SIGCHI_SP06/march1.html
83	0.00282509253929	['uCooperative strategies in technical standardization: The case of wireless telecommunications']	http://www.infosci.cornell.edu/about/SeminarFall04/Nov03.html
84	0.00282509253929	['uDesigning abstract visualizations: From musical to managerial']	http://www.infosci.cornell.edu/about/SeminarFall04/Nov17.html
85	0.00282509253929	['uMachine Learning for Non-Traditional Performance Criteria']	http://www.infosci.cornell.edu/about/SeminarFall04/Oct06.html
86	0.00282509253929	['uReconfiguring Agency at the Human-Computer Interface ']	http://www.infosci.cornell.edu/about/SeminarFall04/Oct20.html
87	0.00282509253929	['uThe Language and Technology of Online Intercultural Community Formation']	http://www.infosci.cornell.edu/about/SeminarFall04/Sept08.html
88	0.00282509253929	['uReading and Writing in the Digital Era']	http://www.infosci.cornell.edu/about/SeminarFall04/Sept22.html
89	0.00319906786668	['uFall 2004 Colloquium', 'u Fall 2004 Colloquium']	http://www.infosci.cornell.edu/about/SeminarSeries-fall2004.html
90	0.00303261577676	['uFall 2007 Colloquium ']	http://www.infosci.cornell.edu/about/seminarSeries-fall2007.htm
91	0.00296195881269	['uFall 2008 Colloquium']	http://www.infosci.cornell.edu/about/seminarSeries-fall2008.html
92	0.00291197866915	['uFall 2009 Colloquium']	http://www.infosci.cornell.edu/about/seminarSeries-fall2009.html
93	0.00323670395816	['u Spring 2004 Colloquium']	http://www.infosci.cornell.edu/about/SeminarSeries-spring2004.html
94	0.00317262928782	['uSpring 2005 Colloquium']	http://www.infosci.cornell.edu/about/SeminarSeries-spring2005.html
95	0.00303261577569	['uSpring 2007 Colloquium ']	http://www.infosci.cornell.edu/about/seminarSeries-spring2007.htm
96	0.00298565448289	['uSpring 2008 Colloquium ']	http://www.infosci.cornell.edu/about/seminarSeries-spring2008.htm
97	0.0029384512025	['uSpring 2009 Colloquium ']	http://www.infosci.cornell.edu/about/seminarSeries-spring2009.html
